start model 0
C:\Users\dozen\AppData\Local\Programs\Python\Python38\lib\site-packages\torch\autograd\__init__.py:130: UserWarning: CUDA initialization: Found no NVIDIA driver on your system. Please check that you have an NVIDIA GPU and installed a driver from http://www.nvidia.com/Download/index.aspx (Triggered internally at  ..\c10\cuda\CUDAFunctions.cpp:100.)
  Variable._execution_engine.run_backward(
16 Average Val Loss: 0.0364, Val Accuracy: 4159/4200 (99.024%)
17 Average Val Loss: 0.0385, Val Accuracy: 4160/4200 (99.048%)
18 Average Val Loss: 0.0367, Val Accuracy: 4156/4200 (98.952%)
19 Average Val Loss: 0.0366, Val Accuracy: 4158/4200 (99.000%)
20 Average Val Loss: 0.0348, Val Accuracy: 4161/4200 (99.071%)
21 Average Val Loss: 0.0351, Val Accuracy: 4162/4200 (99.095%)
22 Average Val Loss: 0.0357, Val Accuracy: 4162/4200 (99.095%)
23 Average Val Loss: 0.0359, Val Accuracy: 4158/4200 (99.000%)
24 Average Val Loss: 0.0371, Val Accuracy: 4157/4200 (98.976%)
25 Average Val Loss: 0.0361, Val Accuracy: 4158/4200 (99.000%)
26 Average Val Loss: 0.0361, Val Accuracy: 4159/4200 (99.024%)
27 Average Val Loss: 0.0360, Val Accuracy: 4159/4200 (99.024%)
28 Average Val Loss: 0.0364, Val Accuracy: 4158/4200 (99.000%)
29 Average Val Loss: 0.0350, Val Accuracy: 4160/4200 (99.048%)
30 Average Val Loss: 0.0353, Val Accuracy: 4159/4200 (99.024%)
31 Average Val Loss: 0.0350, Val Accuracy: 4162/4200 (99.095%)
32 Average Val Loss: 0.0349, Val Accuracy: 4162/4200 (99.095%)
33 Average Val Loss: 0.0354, Val Accuracy: 4160/4200 (99.048%)
34 Average Val Loss: 0.0355, Val Accuracy: 4160/4200 (99.048%)
35 Average Val Loss: 0.0354, Val Accuracy: 4160/4200 (99.048%)
36 Average Val Loss: 0.0354, Val Accuracy: 4160/4200 (99.048%)
37 Average Val Loss: 0.0353, Val Accuracy: 4160/4200 (99.048%)
38 Average Val Loss: 0.0354, Val Accuracy: 4160/4200 (99.048%)
39 Average Val Loss: 0.0357, Val Accuracy: 4160/4200 (99.048%)
40 Average Val Loss: 0.0353, Val Accuracy: 4162/4200 (99.095%)
41 Average Val Loss: 0.0353, Val Accuracy: 4160/4200 (99.048%)
42 Average Val Loss: 0.0354, Val Accuracy: 4161/4200 (99.071%)
